Date,Event,Price,Price/Sq_Ft,Source,listing_page
01/20/2023,Listed,"$700,000 ",$517 ,Austin,https://www.realtor.com/realestateandhomes-detail/6501-Krollton-Dr_Austin_TX_78745_M73438-80523
09/14/2022,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6501-Krollton-Dr_Austin_TX_78745_M73438-80523
03/17/1977,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6501-Krollton-Dr_Austin_TX_78745_M73438-80523
11/14/2022,Listed,"$500,000 ",$291 ,Austin,https://www.realtor.com/realestateandhomes-detail/1500-Chippeway-Ln_Austin_TX_78745_M75063-97299
12/29/2022,Price Changed,"$450,000 ",$404 ,Austin,https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
10/28/2022,Price Changed,"$456,000 ",$409 ,Austin,https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
10/12/2022,Price Changed,"$485,000 ",$435 ,Austin,https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
09/09/2022,Price Changed,"$499,950 ",$448 ,Austin,https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
08/19/2022,Listed,"$515,000 ",$335 ,Austin,https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
11/15/2021,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
07/24/2012,Listing removed,"$100,000 ",$119 ,Austin,https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
01/14/2023,Price Changed,"$679,777 ",$428 ,Austin,https://www.realtor.com/realestateandhomes-detail/5800-Mojave-Dr_Austin_TX_78745_M73480-54981
12/07/2022,Listed,"$699,995 ",$441 ,Austin,https://www.realtor.com/realestateandhomes-detail/5800-Mojave-Dr_Austin_TX_78745_M73480-54981
07/01/2022,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/5800-Mojave-Dr_Austin_TX_78745_M73480-54981
06/30/2022,Listing removed,"$450,000 ",$296 ,Austin,https://www.realtor.com/realestateandhomes-detail/5800-Mojave-Dr_Austin_TX_78745_M73480-54981
06/10/2022,Listed,"$450,000 ",$296 ,Austin,https://www.realtor.com/realestateandhomes-detail/5800-Mojave-Dr_Austin_TX_78745_M73480-54981
01/17/2023,Listed,"$479,500 ",$271 ,Austin,https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
12/31/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
12/07/2022,Listed,"$459,900 ",$260 ,Austin,https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
11/19/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
11/03/2022,Price Changed,"$484,900 ",$274 ,Austin,https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
10/22/2022,Price Changed,"$499,500 ",$282 ,Austin,https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
10/06/2022,Price Changed,"$499,999 ",$282 ,Austin,https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
01/04/2023,Price Changed,"$612,500 ",$447 ,Austin,https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
11/30/2022,Price Changed,"$620,000 ",$453 ,Austin,https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
10/06/2022,Listed,"$625,000 ",$457 ,Austin,https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
07/05/2022,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
06/04/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
05/18/2022,Price Changed,"$559,800 ",$409 ,Austin,https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
05/05/2022,Listed,"$559,000 ",$408 ,Austin,https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
01/25/2023,Price Changed,"$599,900 ",$385 ,Austin,https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
12/15/2022,Listed,"$624,900 ",$401 ,Austin,https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
01/19/2021,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
01/15/2021,Listing removed,"$425,000 ",$273 ,Austin,https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
12/15/2020,Listed,"$425,000 ",$273 ,Austin,https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
02/24/2011,Listing removed,"$169,900 ",$109 ,Austin,https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
10/12/2006,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
01/10/2023,Price Changed,"$698,000 ",$471 ,Austin,https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
12/30/2022,Listed,"$705,000 ",$476 ,Austin,https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
09/13/2011,Listing removed,"$122,000 ",$82 ,Austin,https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
06/27/2003,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
05/24/2003,Listed,"$122,000 ",$82 ,Austin,https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
09/27/2000,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
01/03/2023,Listed,"$495,000 ",$317 ,Austin,https://www.realtor.com/realestateandhomes-detail/5903-Gateshead-Dr_Austin_TX_78745_M72207-91115
07/26/2022,Listed,"$850,000 ",$595 ,Austin,https://www.realtor.com/realestateandhomes-detail/6000-Boxcar-Run_Austin_TX_78745_M70023-39200
12/12/2006,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6000-Boxcar-Run_Austin_TX_78745_M70023-39200
08/26/2004,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6000-Boxcar-Run_Austin_TX_78745_M70023-39200
11/18/2022,Listed,"$599,000 ",$441 ,Austin,https://www.realtor.com/realestateandhomes-detail/2610-Baxter-Dr_Austin_TX_78745_M78019-48934
08/02/2022,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/2610-Baxter-Dr_Austin_TX_78745_M78019-48934
10/06/1998,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/2610-Baxter-Dr_Austin_TX_78745_M78019-48934
11/10/1993,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/2610-Baxter-Dr_Austin_TX_78745_M78019-48934
03/08/1977,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/2610-Baxter-Dr_Austin_TX_78745_M78019-48934
10/17/2022,Price Changed,"$550,000 ",$431 ,Austin,https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
09/19/2022,Price Changed,"$599,000 ",$469 ,Austin,https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
08/04/2022,Price Changed,"$620,000 ",$486 ,Austin,https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
07/14/2022,Listed,"$625,000 ",$489 ,Austin,https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
02/13/2010,Listing removed,"$170,000 ",$133 ,Austin,https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
01/29/2010,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
01/05/2010,Listed,"$170,000 ",$133 ,Austin,https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
01/06/2023,Listed,"$525,000 ",$482 ,Austin,https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
07/07/2017,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
07/07/2017,Listing removed,"$289,000 ",$265 ,Austin,https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
06/09/2017,Listed,"$289,000 ",$265 ,Austin,https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
05/18/2017,Listing removed,"$299,000 ",$275 ,Austin,https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
04/28/2017,Listed,"$299,000 ",$275 ,Austin,https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
05/17/2013,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
01/19/2023,Listed,"$675,000 ",$366 ,Austin,https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
04/01/2016,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
12/09/2022,Price Changed,"$749,000 ",$465 ,Austin,https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
11/03/2022,Listed,"$799,000 ",$496 ,Austin,https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
12/30/2004,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
08/12/2004,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
05/21/2004,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
01/02/2023,Price Changed,"$655,000 ",$434 ,Austin,https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
12/02/2022,Listed,"$665,000 ",$441 ,Austin,https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
12/04/2022,Price Changed,"$499,000 ",$272 ,Austin,https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
10/28/2022,Price Changed,"$590,000 ",$321 ,Austin,https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
09/28/2022,Listed,"$600,000 ",$327 ,Austin,https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
01/30/1992,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
12/06/2022,Price Changed,"$435,000 ",$455 ,Austin,https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
11/04/2022,Listed,"$445,000 ",$465 ,Austin,https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
07/15/2020,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
07/15/2020,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
03/20/2020,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
01/26/2023,Listed,"$420,000 ",$479 ,Austin,https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
07/31/1995,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
01/04/2023,Price Changed,"$460,000 ",$335 ,Austin,https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
11/16/2022,Price Changed,"$480,000 ",$349 ,Austin,https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
08/30/2022,Price Changed,"$490,000 ",$357 ,Austin,https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
08/02/2022,Listed,"$500,000 ",$364 ,Austin,https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
10/22/2022,Listed,"$310,000 ",$431 ,Austin,https://www.realtor.com/realestateandhomes-detail/1616-Webberville-Rd-A_Austin_TX_78721_M97766-28180
01/17/2023,Listed,"$709,000 ",$410 ,Austin,https://www.realtor.com/realestateandhomes-detail/1125-Denfield-St-Apt-1_Austin_TX_78721_M89121-93468
05/28/2019,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/1125-Denfield-St-Apt-1_Austin_TX_78721_M89121-93468
01/18/2023,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
01/17/2023,Listed,"$350,000 ",$203 ,Austin,https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
12/10/2022,Listed,"$350,000 ",- ,Austin,https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
11/30/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
10/28/2022,Listed,"$395,000 ",$229 ,Austin,https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
10/26/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
09/26/2022,Listed,"$415,000 ",$241 ,Austin,https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
10/07/2022,Listed,"$400,000 ",$322 ,Austin,https://www.realtor.com/realestateandhomes-detail/5702-Tura-Ln_Austin_TX_78721_M86649-20825
10/07/2022,Listed,"$400,000 ",- ,Austin,https://www.realtor.com/realestateandhomes-detail/5702-Tura-Ln_Austin_TX_78721_M86649-20825
12/15/1992,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/5702-Tura-Ln_Austin_TX_78721_M86649-20825
12/28/2022,Price Changed,"$350,000 ",$324 ,Austin,https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
09/20/2022,Listed,"$450,000 ",$417 ,Austin,https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
09/09/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
08/23/2022,Price Changed,"$450,000 ",$417 ,Austin,https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
07/18/2022,Price Changed,"$500,000 ",$463 ,Austin,https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
06/29/2022,Price Changed,"$515,000 ",$477 ,Austin,https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
06/17/2022,Listed,"$525,000 ",$486 ,Austin,https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
01/20/2023,Relisted,"$515,000 ",$310 ,Austin,https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
12/08/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
10/27/2022,Price Changed,"$511,000 ",$308 ,Austin,https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
10/13/2022,Price Changed,"$524,000 ",$316 ,Austin,https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
09/29/2022,Price Changed,"$541,000 ",$326 ,Austin,https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
09/15/2022,Price Changed,"$554,000 ",$334 ,Austin,https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
09/01/2022,Price Changed,"$571,000 ",$344 ,Austin,https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
01/20/2023,Listed,"$539,000 ",$518 ,Austin,https://www.realtor.com/realestateandhomes-detail/1128-Mason-Ave-2_Austin_TX_78721_M75168-28520
05/08/2020,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/1128-Mason-Ave-2_Austin_TX_78721_M75168-28520
05/07/2020,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/1128-Mason-Ave-2_Austin_TX_78721_M75168-28520
04/10/2020,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/1128-Mason-Ave-2_Austin_TX_78721_M75168-28520
03/26/2020,Listed for rent,"$2,500 ",$2 ,Austin,https://www.realtor.com/realestateandhomes-detail/1128-Mason-Ave-2_Austin_TX_78721_M75168-28520
03/24/2020,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/1128-Mason-Ave-2_Austin_TX_78721_M75168-28520
03/08/2020,Listed for rent,"$2,500 ",$2 ,Austin,https://www.realtor.com/realestateandhomes-detail/1128-Mason-Ave-2_Austin_TX_78721_M75168-28520
01/17/2023,Listed,"$475,000 ",$468 ,Austin,https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
01/01/2023,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
12/21/2022,Relisted,"$450,000 ",$443 ,Austin,https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
12/14/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
11/02/2022,Listed,"$450,000 ",$443 ,Austin,https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
11/01/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
09/08/2022,Listed,"$475,000 ",$468 ,Austin,https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
12/02/2022,Price Changed,"$839,000 ",$378 ,Austin,https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
11/02/2022,Price Changed,"$849,000 ",$383 ,Austin,https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
10/20/2022,Price Changed,"$885,000 ",$399 ,Austin,https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
10/11/2022,Price Changed,"$890,000 ",$401 ,Austin,https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
10/05/2022,Price Changed,"$939,000 ",$424 ,Austin,https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
09/21/2022,Listed,"$949,000 ",$428 ,Austin,https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
07/24/2015,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
